WorkOrder_ID,Prediction_ID,Assigned_To,WorkOrder_Status,Created_Date,Completion_Date
1,,Maintenance Team,Open,2026-07-21 07:01:12.616623,
2,,Maintenance Team,Open,2026-07-21 07:01:12.616623,
3,,Maintenance Team,Open,2026-07-21 07:01:12.616623,
4,,Maintenance Team,Open,2026-07-21 07:01:12.616623,
5,,Maintenance Team,Open,2026-07-25 23:11:27.591994,
6,,Maintenance Team,Open,2026-07-25 23:11:27.591994,
7,,Maintenance Team,Open,2026-07-25 23:11:27.591994,
8,,Maintenance Team,Open,2026-07-25 23:11:27.591994,
9,,Maintenance Team,Open,2026-07-26 00:23:26.152607,
10,,Maintenance Team,Open,2026-07-26 00:23:26.152607,
11,,Maintenance Team,Open,2026-07-26 00:23:26.152607,
12,,Maintenance Team,Open,2026-07-26 00:23:26.152607,
